sentence_id	token	gold_modal
0	This	O
0	is	O
0	taking	O
0	place	O
0	at	O
0	a	O
0	time	O
0	when	O
0	the	O
0	government	O
0	of	O
0	[	O
0	George	O
0	W.	O
0	]	O
0	Bush	O
0	has	O
0	been	O
0	identified	O
0	as	O
0	the	O
0	top	O
0	violator	B_rules
0	of	I_event
0	human	I_event
0	rights	I_rules
0	of	O
0	the	O
0	last	O
0	Christian	O
0	year	O
0	because	O
0	of	O
0	the	O
0	restrictions	B_rules
0	imposed	I_rules
0	on	I_event
0	the	I_event
0	American	I_event
0	citizens	I_event
0	under	O
0	the	O
0	excuse	O
0	of	O
0	fighting	O
0	terrorism	O
0	.	O

1	So	O
1	far	O
1	the	O
1	Bush	O
1	administration	O
1	has	O
1	denied	O
1	its	O
1	citizens	O
1	their	O
1	legitimate	B_rules
1	rights	I_event
1	,	O
1	has	O
1	set	O
1	up	O
1	military	O
1	courts	O
1	to	O
1	try	O
1	the	O
1	people	B_event
1	charged	I_knowledge
1	with	I_event
1	terrorism	I_event
1	without	O
1	giving	O
1	the	O
1	accused	O
1	the	O
1	right	B_rules
1	of	I_event
1	appeal	I_event
1	or	O
1	the	O
1	basic	O
1	right	B_rules
1	to	I_event
1	appoint	I_event
1	a	I_event
1	lawyer	I_event
1	.	O

2	Moreover	O
2	,	O
2	the	O
2	American	O
2	administration	O
2	has	O
2	violated	O
2	the	O
2	rights	B_rules
2	of	I_event
2	the	I_event
2	minorities	I_event
2	and	O
2	in	O
2	particular	O
2	the	O
2	Muslim	O
2	minority	O
2	who	O
2	have	O
2	migrated	O
2	to	O
2	America	O
2	.	O

3	The	O
3	most	O
3	interesting	O
3	point	O
3	is	O
3	that	O
3	America	O
3	has	O
3	been	O
3	expelled	O
3	from	O
3	membership	O
3	of	O
3	the	O
3	international	O
3	human	B_event
3	rights	I_rules
3	organization	O
3	,	O
3	because	O
3	of	O
3	its	O
3	repeated	O
3	violation	B_rules
3	of	I_event
3	human	I_event
3	rights	I_rules
3	.	O

4	How	O
4	can	B_agent
4	,	O
4	under	O
4	such	O
4	circumstances	O
4	,	O
4	America	B_event
4	allow	I_rules
4	itself	I_event
4	to	I_event
4	express	I_event
4	an	I_event
4	opinion	I_knowledge
4	over	I_event
4	the	I_event
4	issue	I_event
4	of	I_event
4	human	I_event
4	rights	I_rules
4	in	I_event
4	other	I_event
4	countries	I_event
4	.	O

5	It	O
5	seems	O
5	that	O
5	America	O
5	's	O
5	unilateral	O
5	policy	O
5	does	O
5	not	O
5	identify	O
5	any	O
5	limits	O
5	for	O
5	itself	O
5	.	O

6	The	O
6	American	O
6	administration	O
6	,	O
6	during	O
6	Bush	O
6	's	O
6	presidency	O
6	in	O
6	particular	O
6	,	O
6	has	O
6	adopted	O
6	unilateral	O
6	policies	O
6	over	O
6	such	O
6	international	O
6	issues	O
6	as	O
6	the	O
6	reduction	O
6	of	O
6	strategic	B_intentional
6	arms	I_event
6	,	O
6	environmental	O
6	concerns	O
6	including	O
6	the	O
6	Kyoto	O
6	protocol	O
6	,	O
6	proposal	O
6	to	O
6	set	O
6	up	O
6	an	O
6	international	O
6	criminal	O
6	court	O
6	and	O
6	lately	O
6	over	O
6	the	O
6	fight	O
6	against	O
6	terrorism	O
6	.	O

7	The	O
7	State	O
7	Department	O
7	's	O
7	current	O
7	expression	O
7	of	O
7	view	O
7	on	O
7	human	B_event
7	rights	I_rules
7	records	O
7	of	O
7	other	O
7	countries	O
7	is	O
7	in	O
7	fact	O
7	the	O
7	continuation	O
7	of	O
7	the	O
7	same	O
7	unilateral	O
7	policy	O
7	pursued	O
7	by	O
7	the	O
7	American	O
7	administration	O
7	.	O

8	That	O
8	is	O
8	,	O
8	American	O
8	administration	O
8	assumes	O
8	the	O
8	right	B_rules
8	to	I_event
8	interfere	I_event
8	in	I_event
8	all	I_event
8	international	I_event
8	issues	I_event
8	and	I_event
8	internal	I_event
8	affairs	I_event
8	of	I_event
8	other	I_event
8	countries	I_event
8	,	O
8	but	O
8	itself	O
8	does	O
8	not	O
8	care	O
8	about	O
8	the	O
8	concern	O
8	of	O
8	the	O
8	global	O
8	community	O
8	vis-a-vis	O
8	the	O
8	American	O
8	policies	O
8	which	O
8	at	O
8	times	O
8	influence	O
8	a	O
8	large	O
8	part	O
8	of	O
8	the	O
8	world	O
8	.	O

9	It	O
9	is	O
9	a	O
9	human	O
9	virtue	O
9	to	O
9	express	O
9	concern	O
9	on	O
9	human	B_event
9	rights	I_rules
9	issues	O
9	in	O
9	the	O
9	world	O
9	,	O
9	but	O
9	the	B_event
9	American	I_event
9	authorities	I_event
9	-	O
9	after	O
9	massacring	O
9	thousands	O
9	of	O
9	innocent	B_rules
9	people	I_event
9	in	O
9	Afghanistan	O
9	under	O
9	the	O
9	excuse	O
9	of	O
9	fighting	O
9	terrorism	O
9	which	O
9	is	O
9	still	O
9	continuing	O
9	-	O
9	can	B_world
9	not	O
9	expect	B_event
9	the	I_event
9	people	I_event
9	of	I_event
9	the	I_event
9	world	I_event
9	to	I_event
9	take	I_event
9	seriously	I_event
9	the	I_event
9	annual	I_event
9	report	I_event
9	issued	I_event
9	by	I_event
9	their	I_event
9	Department	I_event
9	of	I_event
9	State	I_event
9	on	I_event
9	human	I_event
9	rights	I_rules
9	.	O

10	They	B_event
