sentence_id	token	gold_modal	head
0	This	O	O
0	is	O	O
0	taking	O	O
0	place	O	O
0	at	O	O
0	a	O	O
0	time	O	O
0	when	O	O
0	the	O	O
0	government	O	O
0	of	O	O
0	[	O	O
0	George	O	O
0	W.	O	O
0	]	O	O
0	Bush	O	O
0	has	O	O
0	been	O	O
0	identified	O	O
0	as	O	O
0	the	O	O
0	top	O	O
0	violator	S-priority	O
0	of	O	S-TARGET
0	human	O	O
0	rights	S-priority	O
0	of	O	O
0	the	O	O
0	last	O	O
0	Christian	O	O
0	year	O	O
0	because	O	O
0	of	O	O
0	the	O	O
0	restrictions	S-priority	O
0	imposed	S-priority	S-TARGET
0	on	O	O
0	the	O	O
0	American	O	O
0	citizens	O	O
0	under	O	O
0	the	O	O
0	excuse	O	O
0	of	O	O
0	fighting	O	O
0	terrorism	O	O
0	.	O	O

1	So	O	O
1	far	O	O
1	the	O	O
1	Bush	O	O
1	administration	O	O
1	has	O	O
1	denied	O	O
1	its	O	O
1	citizens	O	O
1	their	O	O
1	legitimate	S-priority	O
1	rights	O	S-TARGET
1	,	O	O
1	has	O	O
1	set	O	O
1	up	O	O
1	military	O	O
1	courts	O	O
1	to	O	O
1	try	O	O
1	the	O	O
1	people	O	O
1	charged	S-plausibility	O
1	with	O	S-TARGET
1	terrorism	O	O
1	without	O	O
1	giving	O	O
1	the	O	O
1	accused	O	O
1	the	O	O
1	right	S-priority	O
1	of	O	S-TARGET
1	appeal	O	O
1	or	O	O
1	the	O	O
1	basic	O	O
1	right	S-priority	O
1	to	O	O
1	appoint	O	S-TARGET
1	a	O	O
1	lawyer	O	O
1	.	O	O

2	Moreover	O	O
2	,	O	O
2	the	O	O
2	American	O	O
2	administration	O	O
2	has	O	O
2	violated	O	O
2	the	O	O
2	rights	S-priority	O
2	of	O	S-TARGET
2	the	O	O
2	minorities	O	O
2	and	O	O
2	in	O	O
2	particular	O	O
2	the	O	O
2	Muslim	O	O
2	minority	O	O
2	who	O	O
2	have	O	O
2	migrated	O	O
2	to	O	O
2	America	O	O
2	.	O	O

3	The	O	O
3	most	O	O
3	interesting	O	O
3	point	O	O
3	is	O	O
3	that	O	O
3	America	O	O
3	has	O	O
3	been	O	O
3	expelled	O	O
3	from	O	O
3	membership	O	O
3	of	O	O
3	the	O	O
3	international	O	O
3	human	O	S-TARGET
3	rights	S-priority	O
3	organization	O	O
3	,	O	O
3	because	O	O
3	of	O	O
3	its	O	O
3	repeated	O	O
3	violation	S-priority	O
3	of	O	S-TARGET
3	human	O	O
3	rights	S-priority	O
3	.	O	O

4	How	O	O
4	can	S-plausibility	O
4	,	O	O
4	under	O	O
4	such	O	O
4	circumstances	O	O
4	,	O	O
4	America	O	O
4	allow	S-priority	O
4	itself	O	O
4	to	O	O
4	express	O	O
4	an	O	S-TARGET
4	opinion	S-plausibility	S-TARGET
4	over	O	O
4	the	O	O
4	issue	O	O
4	of	O	O
4	human	O	O
4	rights	S-priority	O
4	in	O	O
4	other	O	O
4	countries	O	O
4	.	O	O

5	It	O	O
5	seems	O	O
5	that	O	O
5	America	O	O
5	's	O	O
5	unilateral	O	O
5	policy	O	O
5	does	O	O
5	not	O	O
5	identify	O	O
5	any	O	O
5	limits	O	O
5	for	O	O
5	itself	O	O
5	.	O	O

6	The	O	O
6	American	O	O
6	administration	O	O
6	,	O	O
6	during	O	O
6	Bush	O	O
6	's	O	O
6	presidency	O	O
6	in	O	O
6	particular	O	O
6	,	O	O
6	has	O	O
6	adopted	O	O
6	unilateral	O	O
6	policies	O	O
6	over	O	O
6	such	O	O
6	international	O	O
6	issues	O	O
6	as	O	O
6	the	O	O
6	reduction	O	O
6	of	O	O
6	strategic	S-priority	O
6	arms	O	S-TARGET
6	,	O	O
6	environmental	O	O
6	concerns	O	O
6	including	O	O
6	the	O	O
6	Kyoto	O	O
6	protocol	O	O
6	,	O	O
6	proposal	O	O
6	to	O	O
6	set	O	O
6	up	O	O
6	an	O	O
6	international	O	O
6	criminal	O	O
6	court	O	O
6	and	O	O
6	lately	O	O
6	over	O	O
6	the	O	O
6	fight	O	O
6	against	O	O
6	terrorism	O	O
6	.	O	O

7	The	O	O
7	State	O	O
7	Department	O	O
7	's	O	O
7	current	O	O
7	expression	O	O
7	of	O	O
7	view	O	O
7	on	O	O
7	human	O	S-TARGET
7	rights	S-priority	O
7	records	O	O
7	of	O	O
7	other	O	O
7	countries	O	O
7	is	O	O
7	in	O	O
7	fact	O	O
7	the	O	O
7	continuation	O	O
7	of	O	O
7	the	O	O
7	same	O	O
7	unilateral	O	O
7	policy	O	O
7	pursued	O	O
7	by	O	O
7	the	O	O
7	American	O	O
7	administration	O	O
7	.	O	O

8	That	O	O
8	is	O	O
8	,	O	O
8	American	O	O
8	administration	O	O
8	assumes	O	O
8	the	O	O
8	right	S-priority	O
8	to	O	O
8	interfere	O	S-TARGET
8	in	O	O
8	all	O	O
8	international	O	O
8	issues	O	O
8	and	O	O
8	internal	O	O
8	affairs	O	O
8	of	O	O
8	other	O	O
8	countries	O	O
8	,	O	O
8	but	O	O
8	itself	O	O
8	does	O	O
8	not	O	O
8	care	O	O
8	about	O	O
8	the	O	O
8	concern	O	O
8	of	O	O
8	the	O	O
8	global	O	O
8	community	O	O
8	vis-a-vis	O	O
8	the	O	O
8	American	O	O
8	policies	O	O
8	which	O	O
8	at	O	O
8	times	O	O
8	influence	O	O
8	a	O	O
8	large	O	O
8	part	O	O
8	of	O	O
8	the	O	O
8	world	O	O
8	.	O	O

9	It	O	O
9	is	O	O
9	a	O	O
9	human	O	O
9	virtue	O	O
9	to	O	O
9	express	O	O
9	concern	O	O
9	on	O	O
9	human	O	S-TARGET
9	rights	S-priority	O
9	issues	O	O
9	in	O	O
9	the	O	O
9	world	O	O
9	,	O	O
9	but	O	O
9	the	O	O
9	American	O	O
9	authorities	O	O
9	-	O	O
9	after	O	O
9	massacring	O	O
9	thousands	O	O
9	of	O	O
9	innocent	S-priority	O
9	people	O	S-TARGET
9	in	O	O
9	Afghanistan	O	O
9	under	O	O
9	the	O	O
9	excuse	O	O
9	of	O	O
9	fighting	O	O
9	terrorism	O	O
9	which	O	O
9	is	O	O
9	still	O	O
9	continuing	O	O
9	-	O	O
9	can	S-plausibility	O
9	not	O	O
9	expect	O	S-TARGET
9	the	O	O
9	people	O	O
9	of	O	O
9	the	O	O
9	world	O	O
9	to	O	O
9	take	O	O
9	seriously	O	O
9	the	O	O
9	annual	O	O
9	report	O	O
9	issued	O	O
9	by	O	O
9	their	O	O
9	Department	O	O
9	of	O	O
9	State	O	O
9	on	O	O
9	human	O	O
9	rights	S-priority	O
9	.	O	O

10	They	O	O
10	can	S-plausibility	O
10	not	O	O
10	,	O	O
10	therefore	O	O
10	,	O	O
10	blame	O	S-TARGET
10	the	O	O
10	world	O	O
10	for	O	O
10	viewing	O	O
10	such	O	O
10	reports	O	O
10	as	O	O
10	a	O	O
10	tool	O	O
10	to	O	O
10	advance	O	O
10	America	O	O
10	's	O	O
10	foreign	O	O
10	policy	O	O
10	.	O	O

11	Buenos	O	O
11	Aires	O	O
11	,	O	O
11	22	O	O
11	April	O	O
11	(	O	O
11	Telam	O	O
11	)	O	O
11	--	O	O
11	Justicialist	O	O
11	Deputy	O	O
11	Jose	O	O
11	Manuel	O	O
11	Diaz	O	O
11	Bancalari	O	O
11	said	O	O
11	today	O	O
11	that	O	O
11	the	O	O
11	IMF	O	O
11	``	O	O
11	is	O	O
11	seeking	O	O
11	to	O	O
11	create	O	O
11	an	O	O
11	uncontrollable	O	O
11	social	O	O
11	situation	O	O
11	''	O	O
11	with	O	O
11	the	O	O
11	demands	O	O
11	it	O	O
11	has	O	O
11	made	O	O
11	of	O	O
11	the	O	O
11	government	O	O
11	and	O	O
11	,	O	O
11	on	O	O
11	the	O	O
11	other	O	O
11	hand	O	O
11	,	O	O
11	he	O	O
11	confirmed	O	O
11	the	O	O
11	PJ	O	O
11	[	O	O
11	Justicialist	O	O
11	Party	O	O
11	]	O	O
11	bloc	O	O
11	's	O	O
11	willingness	O	O
11	to	O	O
11	support	O	O
11	approval	S-priority	O
11	of	O	O
11	the	O	O
11	draft	O	O
11	law	O	O
11	on	O	S-TARGET
11	bonds	O	O
11	submitted	O	O
11	by	O	O
11	the	O	O
11	executive	O	O
11	branch	O	O
11	.	O	O

12	``	O	O
12	It	O	O
12	seems	O	O
12	as	O	O
12	if	O	O
12	they	O	O
12	are	O	O
12	seeking	O	O
12	to	O	O
12	create	O	O
12	an	O	O
12	uncontrollable	O	O
12	social	O	O
12	situation	O	O
12	,	O	O
12	''	O	O
12	the	O	O
12	legislator	O	O
12	stated	O	O
12	this	O	O
12	morning	O	O
12	,	O	O
12	referring	O	O
12	to	O	O
12	the	O	O
12	demands	O	O
12	presented	O	O
12	by	O	O
12	the	O	O
12	IMF	O	O
12	to	O	O
12	the	O	O
12	country	O	O
12	for	O	O
12	reaching	O	O
12	a	O	O
12	new	O	O
12	agreement	O	O
12	that	O	O
12	would	S-plausibility	O
12	bring	O	S-TARGET
12	in	O	O
