sentence_id	token	gold_modal	head
0	The	O	O
0	American	O	O
0	Department	O	O
0	of	O	O
0	State	O	O
0	,	O	O
0	in	O	O
0	its	O	O
0	annual	O	O
0	report	O	O
0	on	O	O
0	human	O	S-TARGET
0	rights	S_rules	O
0	,	O	O
0	has	O	O
0	accused	O	O
0	a	O	O
0	number	O	O
0	of	O	O
0	countries	O	O
0	,	O	O
0	including	O	O
0	Iran	O	O
0	,	O	O
0	of	O	O
0	human	O	O
0	rights	S_rules	S-TARGET
0	violations	S_rules	O
0	.	O	O

1	So	O	O
1	far	O	O
1	the	O	O
1	Bush	O	O
1	administration	O	O
1	has	O	O
1	denied	O	O
1	its	O	O
1	citizens	O	O
1	their	O	O
1	legitimate	S_rules	O
1	rights	O	S-TARGET
1	,	O	O
1	has	O	O
1	set	O	O
1	up	O	O
1	military	O	O
1	courts	O	O
1	to	O	O
1	try	O	O
1	the	O	O
1	people	O	O
1	charged	S_knowledge	O
1	with	O	S-TARGET
1	terrorism	O	O
1	without	O	O
1	giving	O	O
1	the	O	O
1	accused	O	O
1	the	O	O
1	right	S_rules	O
1	of	O	S-TARGET
1	appeal	O	O
1	or	O	O
1	the	O	O
1	basic	O	O
1	right	S_rules	O
1	to	O	O
1	appoint	O	S-TARGET
1	a	O	O
1	lawyer	O	O
1	.	O	O

2	The	O	O
2	American	O	O
2	administration	O	O
2	is	O	O
2	keeping	O	O
2	the	O	O
2	Taleban	O	O
2	and	O	O
2	Al-Qa'idah	O	O
2	prisoners	O	O
2	in	O	O
2	metal	O	O
2	cages	O	O
2	named	O	O
2	detention	O	O
2	centres	O	O
2	and	O	O
2	it	O	O
2	is	O	O
2	refusing	O	O
2	to	O	O
2	identify	O	O
2	them	O	O
2	as	O	O
2	prisoners	O	O
2	of	O	O
2	war	O	O
2	.	O	O

3	This	O	O
3	is	O	O
3	another	O	O
3	example	O	O
3	of	O	O
3	human	O	O
3	rights	S_rules	S-TARGET
3	violations	S_rules	O
3	in	O	O
3	America	O	O
3	.	O	O

4	Only	O	O
4	after	O	O
4	the	O	O
4	extensive	O	O
4	protest	O	O
4	of	O	O
4	the	O	O
4	world	O	O
4	[	O	O
4	media	O	O
4	]	O	O
4	and	O	O
4	the	O	O
4	human	O	S-TARGET
4	rights	S_rules	O
4	organizations	O	O
4	,	O	O
4	the	O	O
4	American	O	O
4	administration	O	O
4	was	O	O
4	compelled	O	O
4	to	O	O
4	partially	O	O
4	recognize	O	O
4	this	O	O
4	right	O	O
4	.	O	O

5	The	O	O
5	most	O	O
5	interesting	O	O
5	point	O	O
5	is	O	O
5	that	O	O
5	America	O	O
5	has	O	O
5	been	O	O
5	expelled	O	O
5	from	O	O
5	membership	O	O
5	of	O	O
5	the	O	O
5	international	O	O
5	human	O	S-TARGET
5	rights	S_rules	O
5	organization	O	O
